time,value
2025-01-06T04:37:01.696746065Z,238
2025-01-06T04:37:11.88667222Z,238
2025-01-06T04:37:22.076085301Z,236
2025-01-06T04:37:32.270352117Z,238
2025-01-06T04:37:42.456848488Z,238
2025-01-06T04:37:52.644932675Z,236
2025-01-06T04:38:02.848364723Z,236
2025-01-06T04:38:13.02605092Z,236
2025-01-06T04:38:23.216742219Z,236
2025-01-06T04:38:33.406021705Z,236
2025-01-06T04:38:43.597059072Z,236
2025-01-06T04:38:53.78594854Z,234
2025-01-06T04:39:03.976210864Z,234
2025-01-06T04:39:14.175190729Z,234
2025-01-06T04:39:24.356149367Z,234
2025-01-06T04:39:34.55206441Z,234
2025-01-06T04:39:44.739052667Z,234
2025-01-06T04:39:54.929203829Z,233
2025-01-06T04:40:05.122671637Z,233
2025-01-06T04:40:15.314886481Z,233
2025-01-06T04:40:25.511977571Z,234
2025-01-06T04:40:35.696591991Z,233
2025-01-06T04:40:45.892728974Z,233
2025-01-06T04:40:56.083930324Z,233
2025-01-06T04:41:06.275942136Z,233
2025-01-06T04:41:16.466813846Z,234
2025-01-06T04:41:26.656272556Z,234
2025-01-06T04:41:36.846858464Z,234
2025-01-06T04:41:47.037101822Z,234
2025-01-06T04:41:57.226719721Z,236
2025-01-06T04:42:07.416037198Z,236
2025-01-06T04:42:17.618022666Z,267
2025-01-06T04:42:27.801224136Z,267
2025-01-06T04:42:37.988539273Z,267
2025-01-06T04:42:48.189529378Z,265
2025-01-06T04:42:58.38400771Z,264
2025-01-06T04:43:08.568746654Z,267
2025-01-06T04:43:18.756067782Z,265
2025-01-06T04:43:28.948991668Z,265
2025-01-06T04:43:39.14201158Z,264
2025-01-06T04:43:49.333182013Z,264
2025-01-06T04:43:59.529572482Z,264
2025-01-06T04:44:09.717319619Z,262
2025-01-06T04:44:19.909935998Z,262
2025-01-06T04:44:30.102764046Z,262
2025-01-06T04:44:40.291417847Z,262
2025-01-06T04:44:50.482976496Z,261
2025-01-06T04:45:00.708233648Z,261
2025-01-06T04:45:10.863138541Z,261
2025-01-06T04:45:21.056199451Z,259
2025-01-06T04:45:31.242849479Z,259
2025-01-06T04:45:41.432557715Z,259
2025-01-06T04:45:51.627583168Z,259
2025-01-06T04:46:01.819543684Z,259
2025-01-06T04:46:12.008339947Z,259
2025-01-06T04:46:22.204691365Z,259
2025-01-06T04:46:32.388658274Z,259
2025-01-06T04:46:42.576245075Z,259
2025-01-06T04:46:52.768563126Z,257
2025-01-06T04:47:02.962240832Z,257
2025-01-06T04:47:13.146120346Z,257
2025-01-06T04:47:23.347003163Z,256
2025-01-06T04:47:33.528225499Z,256
2025-01-06T04:47:43.726821552Z,256
2025-01-06T04:47:53.908051413Z,256
2025-01-06T04:48:04.098287102Z,256
2025-01-06T04:48:14.286621776Z,256
2025-01-06T04:48:24.480681315Z,256
2025-01-06T04:48:34.678520863Z,256
2025-01-06T04:48:44.864673561Z,256
2025-01-06T04:48:55.066455784Z,256
2025-01-06T04:49:05.252235629Z,256
2025-01-06T04:49:15.441177626Z,254
2025-01-06T04:49:25.635185777Z,254
2025-01-06T04:49:35.825202317Z,254
2025-01-06T04:49:46.018838775Z,254
2025-01-06T04:49:56.212443452Z,254
2025-01-06T04:50:06.403083738Z,254
2025-01-06T04:50:16.600593593Z,254
2025-01-06T04:50:26.7910777Z,254
2025-01-06T04:50:36.978043872Z,254
2025-01-06T04:50:47.169119489Z,254
2025-01-06T04:50:57.362111287Z,254
2025-01-06T04:51:07.554541623Z,254
2025-01-06T04:51:17.767580005Z,254
2025-01-06T04:51:27.940804816Z,254
2025-01-06T04:51:38.126230801Z,252
2025-01-06T04:51:48.320271816Z,254
2025-01-06T04:51:58.507757851Z,252
2025-01-06T04:52:08.699206706Z,252
2025-01-06T04:52:18.887281609Z,252
2025-01-06T04:52:29.07934956Z,252
2025-01-06T04:52:39.27006247Z,252
2025-01-06T04:52:49.461624284Z,252
2025-01-06T04:52:59.652329954Z,252
2025-01-06T04:53:09.849830356Z,252
2025-01-06T04:53:20.034191753Z,252
2025-01-06T04:53:30.225217769Z,252
2025-01-06T04:53:40.4181456Z,252
2025-01-06T04:53:50.606908469Z,252
2025-01-06T04:54:00.798889562Z,252
2025-01-06T04:54:10.995718176Z,252
2025-01-06T04:54:21.182349356Z,252
2025-01-06T04:54:31.375319283Z,252
2025-01-06T04:54:41.564534859Z,252
2025-01-06T04:54:51.753249986Z,252
2025-01-06T04:55:01.945862293Z,252
2025-01-06T04:55:12.139028358Z,252
2025-01-06T04:55:22.336189669Z,252
2025-01-06T04:55:32.520336045Z,252
2025-01-06T04:55:42.716795303Z,251
2025-01-06T04:55:52.898311709Z,252
2025-01-06T04:56:03.097772146Z,252
2025-01-06T04:56:13.280165009Z,252
2025-01-06T04:56:23.470880731Z,252
2025-01-06T04:56:33.665049442Z,252
2025-01-06T04:56:43.856349329Z,252
2025-01-06T04:56:54.046808774Z,252
2025-01-06T04:57:04.239004464Z,252
2025-01-06T04:57:14.430941526Z,252
2025-01-06T04:57:24.621591079Z,252
2025-01-06T04:57:34.812723796Z,252
2025-01-06T04:57:45.002746199Z,252
2025-01-06T04:57:55.19420134Z,252
2025-01-06T04:58:05.392027146Z,252
2025-01-06T04:58:15.577141291Z,252
2025-01-06T04:58:25.766972755Z,251
2025-01-06T04:58:35.960858087Z,251
2025-01-06T04:58:46.151469731Z,251
2025-01-06T04:58:56.340570777Z,251
2025-01-06T04:59:06.530951977Z,251
2025-01-06T04:59:16.719356991Z,251
2025-01-06T04:59:26.908934309Z,251
2025-01-06T04:59:37.101296631Z,249
2025-01-06T04:59:47.287104872Z,249
2025-01-06T04:59:57.474386924Z,249
